ERROR
Belanger, Denise
Belew, Richard K.
Belkin, Mikhail
Belkin, N. J.
Bell, Benjamin
Bell, Linda
Bell, Matthew
Bellegarda, Jerome
Bellert, Irena
Bellynck, Valerie
Beloozerov, V. N.
Beltran-Ferruz, Pablo
Belvin, Robert S.
Belz, Anja
Bemova, Alevtina
ERROR
ERROR
Benamara, Farah
Bender, Emily M.
Bender, Oliver
Bendre, Sushma
ERROR
Benedict, Richard
Bengio, Samy
Bengio, Yoshua
Benkerimi, Kerima
Bennett Novak, Gordon
Bennett, Andrew
Bennett, Paul N.
Bennett, Scott W.
Bennett, Winfield S.
Benra, Jorg
Bensaid, Amine
Bensley, Jeremy
Benson, David B.
Benson, R. A.
Bental, Diana
Bentivogli, Luisa
ERROR
Berber Sardinha, Tony
Berck, Peter
Berendsen, Egon
Berger, Adam L.
Berger, Daniela
Bergler, Sabine
Berglund, Anders
Bergmann, Carsten
Bergsma, Shane
Berland, Matthew
Berlanga-Llavori, Rafael
Berment, Vincent
Bernard, Pascale
ERROR
ERROR
Bernhard, Delphine
Bernick, Philip
Bernsen, Niels Ole
Bernstein, Jared
Bernth, Arendse
Beroule, Dominique
Berrendonner, Alain
Berry, Simon
Berry-Rogghe, Genevieve
Bertagna, Francesca
Berthelin, Jean-Baptiste
Berthouzoz, Cathy
Bertoldi, Nicola
Bertolo, Stefano
Bertomeu, Nuria
Berwick, Robert C.
Bes, Gabriel G.
Besacier, Laurent
Besemer, David J.
ERROR
Bestgen, Yves
Bestougeff, Helene
Betancourt, T.
Bethard, Steven
Bett, Michael
Betz, Jonathan
Bhagat, Rahul
Bhagat, Sonali
Bharati, Akshar
Bhat, Suma
Bhatia, Tej K.
Bhattacharya, Indrajit
Bhattacharyya, Pushpak
Bhattacharyya, Sayan
Bhembe, Dumisizwe
Bian, Guo-Wei
Bianchi, Dario
Bias, Gabriel G.
Biatov, Konstantin
Biber, Douglas
Bibok, Karoly
Bick, Eckhard
Bickel, Steffen
Bickmore, Timothy W.
Biemann, Christian
Bien, Janusz Stanislaw
Bienkowski, Marie A.
Biermann, Alan W.
Bierner, Gann
Bies, Ann
ERROR
Biewer, Axel
Bigham, Jeffrey
Bikel, Daniel M.
Bilac, Slaven
Bilange, Eric
Bilbro, G.
Bilhaut, Frederik
Biller, Ofer
Billing Jr., Floyd H.
Billott, Sylvie
Bilmes, Jeff A.
Bily, Milan
Bindi, Remo
Binkowski, Ed
Binnick, Robert I.
Binot, Jean-Louis
Birbanescu, Adrian
Birch, Alexandra
Bird, Steven
Birke, Julia
Birnbaum, Lawrence
Biro, Tamas
Bishop, Kathleen
Bisiani, Roberto
Bisson, Gilles
Biswas, Pradipta
Blaauw, Eleonora
Blache, Philippe
Black, Alan W.
Black, Ezra W.
Black, John E.
Black, William J.
Blackburn, Patrick
Blaheta, Don
Blair, Alan D.
Blair-Goldensohn, Sasha
Blake, Catherine
Blanc, Olivier
ERROR
Blaschke, C.
Blaser, Brigitte
Blatak, Jan
Blatz, John
Blaylock, Nate
ERROR
Blejer, Hatte R.
Blin, Laurent
Blitzer, John
Block, Hans Ulrich
Block, Russell
Bloedorn, Eric
Bloemberg, Wilfried
Blois, Marsden S.
Bloksma, Laura
Bloodgood, Michael
Bloom, Jonathan
Bloom, Kenneth
Blouin, Christian
Blower, Paul E.
Blume, Matthias
Blunsom, Philip
Bly, B.
Bobadilla, Emilio
Boberg, Jorma
Bobrow, Daniel G.
Bobrow, Robert J.
Bobrow, Rusty
Boccalatte, A.
Bocsa, Minerva
Bod, Rens
Boda, Peter Pal
Bode, Andreas
Bodenreider, Olivier
Bodirsky, Manuel
Bodmer, Franck
Boella, Guido
Boersma, Paul
Boesefeldt, Katharina
Boettner, Carolyn
Bogers, Toine
Boggess, Lois
Boguraev, Branimir K.
Boguslavsky, Igor
Bohm, Klemens
Bohmova, Alena
Bohnet, Bernd
Bohus, Dan
Boisen, Sean
Boisvert, Maryse
Boisvert, Serge
Boitet, Christian
ERROR
Boland, Julie E.
Bolc, Leonard
Boleda, Gemma
Bolioli, Andrea
Bollegala, Danushka
Bolognesi, A.
Bolohan, Orest
Bolshakov, Igor A.
Bonaventura, Patrizia
Bonawitz, Keith
Boncz, Peter
Bond, Francis
Bonfante, Guillaume
ERROR
Bonnema, Remko
Bontas, Elena Paslaru
Bontcheva, Kalina
Bookman, Lawrence A.
Boonkwan, Prachya
Boonthum, Chutima
Boot, M.
Bopp, Stephan
Borcev, V. B.
Bordag, Stefan
Borely, C.
Borgelt, Christian
Borghesi, Luigi
Borgida, Alexander T.
Borgo, Stefano
Borillo, Andree
Borin, Lars
Borissova, Elena
Bork, Peer
Borkovsky, Arkady
Borkowski, Casimir
ERROR
Borra, Allan
Borthen, Kaja
Borthwick, Andrew
Borys, Sarah
Bos, Edwin
Bos, Johan
